央视ʰ,#genre#
CCTV-4 中文国际,http://60.205.114.16/live/cctv4.m3u8?user=APTV66&line=3
CCTV-5 体育,http://60.205.114.16/live/cctv5.m3u8?user=APTV66&line=3
CCTV-5+ 体育赛事,http://60.205.114.16/live/cctv5p.m3u8?user=APTV66&line=3
CCTV-6 电影,http://60.205.114.16/live/cctv6.m3u8?user=APTV66&line=3
CCTV-7 国防军事,http://60.205.114.16/live/cctv7.m3u8?user=APTV66&line=3
CCTV-8 电视剧,http://60.205.114.16/live/cctv8.m3u8?user=APTV66&line=3
CCTV-9 纪录,http://60.205.114.16/live/cctv9.m3u8?user=APTV66&line=3
CCTV-10 科教,http://60.205.114.16/live/cctv10.m3u8?user=APTV66&line=3
CCTV-11 戏曲,http://60.205.114.16/live/cctv11.m3u8?user=APTV66&line=3
CCTV-12 社会与法,http://60.205.114.16/live/cctv12.m3u8?user=APTV66&line=3
CCTV-13 新闻,http://60.205.114.16/live/cctv13.m3u8?user=APTV66&line=3
CCTV-14 少儿,http://60.205.114.16/live/cctv14.m3u8?user=APTV66&line=3
CCTV-15 音乐,http://60.205.114.16/live/cctv15.m3u8?user=APTV66&line=3
CCTV-16 奥林匹克,http://60.205.114.16/live/cctv16.m3u8?user=APTV66&line=3
CCTV-17 农业农村,http://60.205.114.16/live/cctv17.m3u8?user=APTV66&line=3
CCTV-4K 超高清,http://60.205.114.16/live/cctv4k.m3u8?user=APTV66&line=3
CCTV-16 奥林匹克 4K,http://60.205.114.16/live/cctv164k.m3u8?user=APTV66&line=3
CGTN,http://60.205.114.16/live/cgtn.m3u8?user=APTV66&line=3
北京卫视,http://60.205.114.16/live/bjws.m3u8?user=APTV66&line=3
东方卫视,http://60.205.114.16/live/dfws.m3u8?user=APTV66&line=3
天津卫视,http://60.205.114.16/live/tjws.m3u8?user=APTV66&line=3
重庆卫视,http://60.205.114.16/live/cqws.m3u8?user=APTV66&line=3
黑龙江卫视,http://60.205.114.16/live/hljws.m3u8?user=APTV66&line=3
吉林卫视,http://60.205.114.16/live/jlws.m3u8?user=APTV66&line=3
辽宁卫视,http://60.205.114.16/live/lnws.m3u8?user=APTV66&line=3
内蒙古卫视,http://60.205.114.16/live/nmws.m3u8?user=APTV66&line=3
宁夏卫视,http://60.205.114.16/live/nxws.m3u8?user=APTV66&line=3
甘肃卫视,http://60.205.114.16/live/gsws.m3u8?user=APTV66&line=3
青海卫视,http://60.205.114.16/live/qhws.m3u8?user=APTV66&line=3
陕西卫视,http://60.205.114.16/live/sxws.m3u8?user=APTV66&line=3
河北卫视,http://60.205.114.16/live/hbws.m3u8?user=APTV66&line=3
山西卫视,http://60.205.114.16/live/sxiws.m3u8?user=APTV66&line=3
山东卫视,http://60.205.114.16/live/sdws.m3u8?user=APTV66&line=3
安徽卫视,http://60.205.114.16/live/ahws.m3u8?user=APTV66&line=3
河南卫视,http://60.205.114.16/live/hnws.m3u8?user=APTV66&line=3
湖北卫视,http://60.205.114.16/live/hubws.m3u8?user=APTV66&line=3
湖南卫视,http://60.205.114.16/live/hunws.m3u8?user=APTV66&line=3
江西卫视,http://60.205.114.16/live/jxws.m3u8?user=APTV66&line=3
江苏卫视,http://60.205.114.16/live/jsws.m3u8?user=APTV66&line=3
浙江卫视,http://60.205.114.16/live/zjws.m3u8?user=APTV66&line=3
东南卫视,http://60.205.114.16/live/dnws.m3u8?user=APTV66&line=3
海峡卫视,http://60.205.114.16/live/hxws.m3u8?user=APTV66&line=3
厦门卫视,http://60.205.114.16/live/xmws.m3u8?user=APTV66&line=3
广东卫视,http://60.205.114.16/live/gdws.m3u8?user=APTV66&line=3
深圳卫视,http://60.205.114.16/live/szws.m3u8?user=APTV66&line=3
广西卫视,http://60.205.114.16/live/gxws.m3u8?user=APTV66&line=3
云南卫视,http://60.205.114.16/live/ynws.m3u8?user=APTV66&line=3
贵州卫视,http://60.205.114.16/live/gzws.m3u8?user=APTV66&line=3
四川卫视,http://60.205.114.16/live/scws.m3u8?user=APTV66&line=3
康巴卫视,http://60.205.114.16/live/kbws.m3u8?user=APTV66&line=3
海南卫视,http://60.205.114.16/live/hinws.m3u8?user=APTV66&line=3
三沙卫视,http://60.205.114.16/live/ssws.m3u8?user=APTV66&line=3
新疆卫视,http://60.205.114.16/live/xjws.m3u8?user=APTV66&line=3
兵团卫视,http://60.205.114.16/live/btws.m3u8?user=APTV66&line=3
西藏卫视,http://60.205.114.16/live/xzws.m3u8?user=APTV66&line=3
西藏藏语卫视,http://60.205.114.16/live/xzzyws.m3u8?user=APTV66&line=3
CETV1,http://60.205.114.16/live/cetv1.m3u8?user=APTV66&line=3
CETV2,http://60.205.114.16/live/cetv2.m3u8?user=APTV66&line=3
CETV4,http://60.205.114.16/live/cetv4.m3u8?user=APTV66&line=3
北京纪实科教,http://60.205.114.16/live/bjjskj.m3u8?user=APTV66&line=3
纪实人文,http://60.205.114.16/live/shjsrw.m3u8?user=APTV66&line=3
动漫秀场,http://60.205.114.16/live/dmxc.m3u8?user=APTV66&line=3
哈哈炫动,http://60.205.114.16/live/hhxd.m3u8?user=APTV66&line=3
欢笑剧场,http://60.205.114.16/live/hxjc.m3u8?user=APTV66&line=3
欢笑剧场 4K,http://60.205.114.16/live/hxjc4k.m3u8?user=APTV66&line=3
都市剧场,http://60.205.114.16/live/dsjc.m3u8?user=APTV66&line=3
五星体育,http://60.205.114.16/live/wxty.m3u8?user=APTV66&line=3
劲爆体育,http://60.205.114.16/live/jbty.m3u8?user=APTV66&line=3
新视觉,http://60.205.114.16/live/xsj.m3u8?user=APTV66&line=3
游戏风云,http://60.205.114.16/live/yxfy.m3u8?user=APTV66&line=3
生活时尚,http://60.205.114.16/live/shss.m3u8?user=APTV66&line=3
金色学堂,http://60.205.114.16/live/jspd.m3u8?user=APTV66&line=3
乐游,http://60.205.114.16/live/qjs.m3u8?user=APTV66&line=3
魅力足球,http://60.205.114.16/live/mlzq.m3u8?user=APTV66&line=3
茶频道,http://60.205.114.16/live/cpd.m3u8?user=APTV66&line=3
快乐垂钓,http://60.205.114.16/live/klcd.m3u8?user=APTV66&line=3
金鹰纪实,http://60.205.114.16/live/jyjs.m3u8?user=APTV66&line=3
金鹰卡通,http://60.205.114.16/live/jykt.m3u8?user=APTV66&line=3
嘉佳卡通,http://60.205.114.16/live/jjkt.m3u8?user=APTV66&line=3
财富天下,http://60.205.114.16/live/cftx.m3u8?user=APTV66&line=3
中国天气,http://60.205.114.16/live/zgtq.m3u8?user=APTV66&line=3
上海新闻综合,http://60.205.114.16/live/shxwzh.m3u8?user=APTV66&line=3
上海都市,http://60.205.114.16/live/shds.m3u8?user=APTV66&line=3
上海ICS外语,http://60.205.114.16/live/shics.m3u8?user=APTV66&line=3
东方影视,http://60.205.114.16/live/dfys.m3u8?user=APTV66&line=3
七彩戏剧,http://60.205.114.16/live/qcxj.m3u8?user=APTV66&line=3
第一财经,http://60.205.114.16/live/dycj.m3u8?user=APTV66&line=3
法治天地,http://60.205.114.16/live/fztd.m3u8?user=APTV66&line=3
东方财经,http://60.205.114.16/live/dfcj.m3u8?user=APTV66&line=3
上海教育,http://60.205.114.16/live/shjy.m3u8?user=APTV66&line=3
东方购物,http://60.205.114.16/live/dfgw.m3u8?user=APTV66&line=3
浦东电视台,http://60.205.114.16/live/pdtv.m3u8?user=APTV66&line=3
福建综合,http://60.205.114.16/live/fjzh.m3u8?user=APTV66&line=3
福建新闻,http://60.205.114.16/live/fjxw.m3u8?user=APTV66&line=3
福建电视剧,http://60.205.114.16/live/fjdsj.m3u8?user=APTV66&line=3
福建文体,http://60.205.114.16/live/fjwt.m3u8?user=APTV66&line=3
